Local Language,English,Translated_English
تاريخ الاستحقاق,,Maturity date
الاسم,,Name
قيمة ايصال الامانة,,Trust Receipt amount
 تاريخ وثيقة النقل,,Transport document date
رقم وثيقة النقل,,Transport document number
رصيد ايصال الامانة,,Trust Receipt balance
عملة ايصال الامانة,,Trust Receipt currency
رقم مرجع ايصال الامانة,,Trust Receipt reference number
قيمة تسديد ايصال الامانة,,Trust Receipt repayment amount
اسم الباخرة,,Vessel name
رقم المرجع الرئيسي,,Main reference number
الرصيد,,Balance
تاريخ الاستحقاق,,Maturity date
الوضع الحالي,,Current status
ذات صلة,,Related
اسم طالب الاصدار,,Applicant name
المبلغ,,Amount
تفاصيل التعديل,,Amendment details
تعليمات البنك,,Bank instructions
تفاصيل الالتزام,,Undertaking details
نص الكفالة,,Guarantee wording
رئيسي,,Main
أخرى,,Other
التعديلات الاخرى,,Other amendments
جهات الاعتماد,,LC parties
قبول او رفض الطلب,,Accept or reject the application
تاريخ طلب التعديل,,Amendment request date
التعديلات الاخرى,,Other amendments
نوع التعديل,,Amendment type
عنوان طالب الاصدار,,Applicant address
اسم الدولة,,Country name
تاريخ الطلب,,Application date
اسم طالب الاصدار,,Applicant name
تجديد التلقائي,,Automatic renewal
الموقع,,Location
المدينة,,City
الدولة,,Country
الموقع,,Location
المدينة,,City
الدولة,,Country
الاسم,,Name
بنك المستفيد,,Beneficiary Bank
رمز السويفت,,SWIFT Code
رمز دولة المستفيد,,Beneficiary Country Code
اسم المستفيد,,Beneficiary Name
عنوان المستفيد,,Beneficiary Address
اسم البنك,,Bank Name
تاريخ الالغاء,,Cancellation Date
سبب الالغاء,,Reason for Cancellation
حساب المصاريف,,Charges Account
عملة المصاريف,,Charges Currency
عملة وقيمة المطالبة,,Currency and Amount of Claim
تاريخ المطالبة,,Claim Date
رقم المطالبة,,Claim Number
الرد على المطالبة,,Response to Claim
تفاصيل جهة الاتصال,,Contact Details
نسبة العمولات,,Commission Rate
قيمة وعملة العقد,,Contract Value and Currency
تفاصيل العقد,,Contract Details
رقم العقد,,Contract Number
الوضع الحالي,,Current Status
الحساب,,Account
رقم حساب العميل للمصاريف,,Customer Charges Account Number
رقم حساب العميل الفرعي,,Customer Sub-account Number
رمز الفرع / حساب العميل,,Branch Code / Customer Account
تعليمات العميل / المستندات الإضافية المطلوبة,,Customer Instructions / Additional Documents Required
التأكيد على الموافقة1,,Approval Confirmation 1
تأكيد على الموافقة2,,Approval Confirmation 2
تأكيد على الموافقة3,,Approval Confirmation 3
تأكيد على الموافقة4,,Approval Confirmation 4
تأكيد على الموافقة5,,Approval Confirmation 5
رقم مرجعنا,,Our Reference Number
تخفيض القيمة بـمبلغ,,Decrease Amount By
تعليمات التسليم,,Delivery Instructions
انشئت بواسطة,,Created By
تاريخ الانتهاء,,Expiry Date
تاريخ انتهاء الكفالة,,Guarantee Expiry Date
مدة الانتهاء,,Expiry Period
مكان الانتهاء,,Place of expiry
نوع الانتهاء,,Expiry type
الموقع,,Location
المدينة,,City
الدولة,,Country
الاسم,,Name
عنوان الطرف المكفول,,Address of the Guaranteed Party
نموذج الكفالة,,Guarantee template
قيمة الكفالة بالكلمات,,Guarantee amount in words
رصيد الكفالة,,Guarantee balance
رصيد الكفالة,,Guarantee balance
عملة ومبلغ الكفالة,,Guarantee currency and amount
عملة ومبلغ ورصيد الكفالة,,"Guarantee currency, amount and balance"
رصيد الكفالة,,Guarantee balance
الوصف المختصر لغرض الكفالة,,Brief description of the guarantee purpose
نموذج الكفالة,,Guarantee template
رقم الكفالة,,Guarantee number
غرض الكفالة,,Purpose of the guarantee
نوع الكفالة,,Type of guarantee
نص الكفالة,,Guarantee wording
تفاصيل الكفالة,,Guarantee details
زيادة القيمة بـمبلغ,,Increase amount by
عملات متعددة (نعم/لا),,Multiple currencies (Yes/No)
هل طالب الاصدار هو نفس المكفول ؟,,Is the applicant the same as the beneficiary?
لا,,No
نعم,,Yes
تاريخ الاصدار,,Issuance date
اللغة,,Language
رصيد الكفالة بالعملة المحلية,,Guarantee balance in local currency
مجموع مصاريف الكفالة غير المدفوعة,,Total unpaid guarantee charges
نوع الضمان,,Type of guarantee
الرقم الفرعي لحساب المصاريف,,Charges account sub-number
حساب التامينات,,Collateral account
عملة التامينات,,Collateral currency
الحساب الفرعي للتامينات,,Collateral sub-account
قيمة التامينات,,Collateral amount
رصيد التامينات,,Collateral balance
عملة التامينات,,Collateral currency
حساب تغذية التامينات,,Collateral funding account
الرقم الفرعي لحساب تغذية التامينات,,Collateral funding account sub-number
طبيعة المطالبة,,Nature of the claim
تاريخ استحقاق الكفالة الجديد,,New guarantee expiry date
نوع الاستحقاق الجديد,,New expiry type
قيمة الكفالة الجديدة,,New guarantee amount
لا يوجد تاريخ انتهاء,,No expiry date
رقم التعديل,,Amendment number
رقم المطالبة,,Claim number
ملاحظات,,Notes
عدد الايام,,Number of days
عملة دفع المصاريف,,Expense payment currency
رقم مرجع الشركة الام,,Parent company reference number
نوع الدفع / الرد على المطالبة,,Payment type / response to the claim
عنوان فرع التقديم,,Submitting branch address
اسم فرع التقديم,,Submitting branch name
غرض الكفالة,,Purpose of the guarantee
سبب الرفض,,Reason for rejection
حالة الحركة لدى البنك,,Transaction status at the bank
القيمة المحددة,,Specified amount
يرجى الموافقة على الشروط اعلاه والاقرار بالموافقة على الشروط العامة للكفالات .,,Please approve the above terms and acknowledge acceptance of the general terms and conditions for guarantees.
قيمة العمولات الاجمالية,,Total commission amount
اجمالي المصاريف المدفوعة,,Total paid charges
اجمالي المصاريف غير المدفوعة,,Total unpaid charges
تاريخ التعديل,,Amendment date
تاريخ بدء السريان,,Commencement date
طالب الاصدار,,Applicant
المستفيد,,Beneficiary
بنك المستفيد,,Beneficiary bank
الجهة الصادر باسمها,,Entity in whose name it is issued
الطرف المكفول,,Principal
الطرف المكفول,,Principal
رقم مرجعنا,,Our reference number
عملة المطالبة,,Claim currency
قيمة المطالبة,,Claim amount
رقم المطالبة,,Claim number
الوضع الحالي,,Current status
حالة الحركة لدى البنك,,Transaction status with the bank
اسم المستفيد,,Beneficiary name
تاريخ الانتهاء,,Expiry date
رقم مرجعنا,,Our reference number
قيمة الكفالة,,Guarantee amount
عملة الكفالة,,Currency of the guarantee
قيمة الكفالة,,Guarantee amount
تاريخ الانتهاء,,Expiry date
اسم المستفيد,,Beneficiary name
رقم الكفالة,,Guarantee number
اسم المستفيد,,Beneficiary name
عملة الكفالة,,Currency of the guarantee
رقم الكفالة,,Guarantee number
رقم مرجعنا,,Our reference number
عملة الكفالة,,Currency of the guarantee
قيمة الكفالة,,Guarantee amount
رصيد الكفالة,,Guarantee balance
تاريخ الاستحقاق,,Due date
تاريخ الانتهاء,,Expiry date
الوضع الحالي,,Current status
حالة الحركة لدى البنك,,Bank transaction status
حالة الحركة لدى البنك,,Bank transaction status
تاريخ الاصدار,,Issue date
اسم الطرف المكفول,,Applicant name
رقم الكفالة,,Guarantee number
اسم المستفيد,,Beneficiary name
طريقة كتابة القيمة,,Amount format
عينة طريقة كتابة القيمة,,Sample amount format
العملة الاساسية,,Base currency
مجموعة البنك,,Bank group
تغيير الرمز السري عند الدخول التالي,,Change password at next login
تاكيد الرمز السري,,Confirm password
طريقة كتابة التاريخ,,Date format
اسم الشركة,,Company name
اسم الشركة الاساسي,,Primary company name
كلمة السر,,Password
غير مفعلة/معلقة,,Inactive/Suspended
هل هو بنك؟,,Is it a bank?
اللغة,,Language
الشركة الام,,Parent company
الرقم المبدئي للمرجع,,Initial reference number
الرقم الفرعي للمرجع,,Sub-reference number
رقم حساب الشركة (رمز الفرع + حساب العميل),,Company account number (branch code + customer account number)
الرمز التعريفي للمجموعة,,Group ID
اسم المجموعة,,Group name
اسم الشركة,,Company Name
اسم مجموعة الشركات,,Group Name
اسم المستخدم,,Username
تفاصيل قاعدة التعريف,,Definition Base Details
رمز المستخدم,,User Code
رمز قاعدة التعريف,,Definition Base Code
فئة الضمانة,,Guarantee Category
العملة,,Currency
تاريخ بدء السريان,,Effective Start Date
عنوان البريد الالكتروني,,Email Address
البريد الالكتروني للشركة,,Company Email
تاريخ الانتهاء,,Expiry Date
مستوى اجازة الحركة,,Transaction Approval Level
اجازة الحركة من نفس المستخدم,,Approval of transaction by the same user
عدم السماح لمنشئ المعاملة بالموافقة عليها,,Do not allow the maker of the transaction to approve it
عدد محاولات اعادة الدخول,,Number of re-login attempts
محاولات دخول متعددة,,Multiple login attempts
تسلسل كتابة المرجع,,Reference entry sequence
مدى التسلسل,,Sequence range
مستوى,,Level
مستوى اجازة الحركة,,Transaction approval level
السقف,,Limit
سقف الحركة,,Transaction limit
غير سارية بدون توقيع,,Not valid without signature
نوع الحركة,,Transaction type
البريد الالكتروني المعرف مسبقا,,Pre-registered email address
رمز الدولة,,Country code
البريد الالكتروني لمدير العلاقة,,Relationship Manager's email address
اسم قاعدة التعريف,,Definition rule name
مسمى قاعدة اجازة الحركة,,Transaction approval rule name
تسلسل اجازة الحركة,,Transaction approval sequence
الرقم التسلسلي لجهاز التوكن,,Token device serial number
عنوان الشركة,,Company address
تفعيل /عدم تفعيل المستخدم,,Activate/deactivate user
معلومات الدفعة المقدمة,,Advance payment information
المعلومات الاساسية,,Basic information
الشركة الفرعية (الابن),,Subsidiary company (child)
فعالية التنازل,,Assignment effectiveness
قائمة الشركة,,Company list
معلومات كلمة السر,,Password information
المعلومات العامة,,General Information
تعليمات البنك,,Bank Instructions
نص التعويض,,Indemnity Wording
رئيسي,,Main
جهات الاعتماد,,LC Parties
تفاصيل / نص كفالة الشحن,,Details / Shipping Guarantee Wording
العنوان,,Address
اسم طالب الاصدار,,Applicant Name
العنوان,,Address
اسم المستفيد,,Beneficiary Name
رمز الفرع / حساب العميل,,Branch Code / Customer Account
رقم مرجعنا,,Our Reference Number
رقم المرجع,,Reference Number
حساب المصاريف,,Charges Account
عملة المصاريف,,Charges Currency
الحاوية رقم 1,,Container No. 1
الحاوية رقم 2,,Container No. 2
رمز الفرع / حساب العميل,,Branch Code / Customer Account
تعليمات العميل / المستندات الإضافية المطلوبة,,Customer Instructions / Additional Required Documents
ملاحظات,,Notes
رقم مرجع الكفالة,,Guarantee reference number
ميناء التفريغ,,Port of discharge
ميناء التحميل,,Port of loading
مؤشر المستندات المستلمة,,Documents received indicator
وصف البضائع,,Description of goods
عملة وقيمة كفالة التخليص على البضائع,,Currency and amount of the customs clearance guarantee
عملة وقيمة المستندات,,Documents currency and amount
رقم الكفالة,,Guarantee number
رقم الفاتورة,,Invoice number
تاريخ الاصدار,,Issue date
رقم الاعتماد,,L/C number
رقم الاعتماد/بوليصة التحصيل,,L/C number / Collection bill number
حساب التامينات,,Security deposit account
تاريخ الاستحقاق,,Maturity date
نوع الشحن,,Mode of shipment
بواسطة الجو,,By air
أخرى,,Other
بواسطة البر,,By land
بواسطة البحر,,By sea
سبب الرفض,,Reason for rejection
حالة الحركة لدى البنك,,Transaction status at the bank
كفالة تخليص على البضائع/ اذن تسليم ؟,,Shipping guarantee for the goods / delivery order?
اذن تسليم,,Delivery order
كفالة تخليص البضائع,,Shipping guarantee for the goods
عنوان شركة الشحن,,Address of the shipping company
اسم الشركة,,Company name
اسم شركة الشحن /  وكيل الشحن,,Name of the shipping company / shipping agent
شحن البضائع من,,Goods shipped from
الشحن من,,Shipment from
رقم الرحلة,,Flight number
اسم الباخرة/رقم الرحلة,,Vessel name / voyage number
العنوان,,Address
اسم المنتج,,Product name
بوليصة,,Policy
اعتماد,,Letter of credit
تاريخ وثيقة الشحن الاولى,,Date of the first shipping document
تاريخ وثيقة الشحن الاولى,,Date of the first shipping document
تاريخ وثيقة الشحن الثانية,,Date of the second shipping document
رقم وثيقة الشحن الاولى,,Number of the first shipping document
رقم وثيقة الشحن الاولى,,Number of the first shipping document
رقم وثيقة الشحن الثانية,,Second shipping document number
مكان وصول البضائع,,Place of arrival of the goods
الشحن الى,,Ship to
تاريخ الطلب,,Application date
اسم الباخرة/الناقل,,Name of vessel/carrier
طالب الاصدار,,Applicant
تفاصيل المستفيد,,Beneficiary details
تفاصيل شركة الشحن,,Carrier details
تفاصيل الشاحن,,Shipper details
رقم مرجعنا,,Our reference number
عملة الكفالة,,Guarantee currency
قيمة الكفالة,,Guarantee amount
رقم مرجعنا,,Our reference number
عملة الكفالة,,Guarantee currency
قيمة الكفالة,,Guarantee amount
رقم مرجعنا,,Our reference number
قيمة الكفالة,,Guarantee amount
عملة الكفالة,,Guarantee currency
قيمة الكفالة,,Guarantee amount
رقم الكفالة,,Guarantee number
رقم المرجع المعني,,Related reference number
عملة الكفالة,,Guarantee currency
شركة الشحن,,Shipping company
رقم مرجعنا,,Our reference number
عملة الكفالة,,Guarantee currency
العنوان,,Address
رمز دولة البنك,,Bank country code
الاسم,,Name
رمز السويفت,,SWIFT code
محتوى الشرط,,Condition text
وصف الشرط,,Condition description
اسم الشرط,,Condition name
النوع,,Type
المنتج,,Product
اغلاق الرسالة ؟,,Close the message?
رقم الحساب,,Account number
عملة الحساب,,Account currency
تاريخ بدء السريان,,Effective date
تاريخ الانتهاء,,Expiry date
حقل الشرط,,Condition field
الحقول,,Fields
لجميع الشركات,,For all companies
وصف,,Description
الرمز التعريفي,,Identifier
الموضوع,,Subject
العنوان,,Address
العنوان,,Address
الاسم,,Name
رمز السويفت,,SWIFT code
رمز الدوله,,Country code
الرمز التعريفي,,Identifier
الاسم,,Name
نوع الطرف,,Party type
معلومات الشرط,,Condition information
معلومات الطرف,,Party information
بنك الطرف,,Party bank
المسند اليه الاخير,,Last assignee
المحول اليه الجديد,,New transferee
نموذج,,Form
رمز الشركة,,Company code
فعالية,,Event
النوع,,Type
معلومات النموذج,,Form Information
الحقول المراد تظهيرها,,Fields to be displayed
الحقول المراد تصديرها,,Fields to be exported
قائمه الحقول,,Field list
إضافة مرفقات,,Add attachments
رفع/مشاهدة المستندات,,Upload/View documents
اخفاء,,Hide
اظهار,,Show
مقارنة,,Compare
مشاهدة التوثيق,,View documentation
ازالة,,Remove
مشاهدة,,View
مشاهدة,,View
تنقية البحث,,Refine search
أعادة الوضع كما كان سابقا,,Restore to previous state
مساعدة,,Help
الصفحة الرئيسية,,Home
ساعة,,Hour
دقيقة,,Minute
إضفاء الطابع الشخصي,,Personalization
ثان,,Second
تسجيل الخروج,,Log out
مستخدم,,User
الغاء,,Cancel
تاكيد,,Confirm
الغاء,,Cancel
تاكيد,,Confirm
حذف,,Delete
تمرير,,Scroll
الغاء,,Cancel
تاكيد,,Confirm
الغاء,,Cancel
ازالة,,Remove
تاكيد,,Confirm
حذف,,Delete
طباعة,,Print
تمرير,,Scroll
حفظ,,Save
حفظ النموذج,,Save Form
اسم الملف,,File Name
نوع الملف,,File Type
الحدث المعني,,Relevant Event
تنقية البحث,,Refine Search
النص,,Text
لا,,No
الداله,,Function
أعادة الوضع كما كان سابقا,,Revert to previous state
البحث عن,,Search for
نعم,,Yes
يوكل الى,,Delegate To
نوع التحكم,,Control Type
خاص,,Private
عام,,Public
رمز النموذج,,Form Code
اسم النموذج,,Form Name
الاستمرار,,Continue
"لتمديد فترة الجلسة , يرجى النقر على استمرار",,"To extend the session, please click Continue"
ثواني,,Seconds
وقت الجلسة الخاص بكم سينتهي. سوف يتم حفظ بيانات الحركة وسيتم تسجيل خروجكم واعادة دخولكم,,"Your session will expire. Transaction data will be saved, and you will be logged out and will need to log in again."
يبدأ في,,Starts at
اضافه,,Add
البنك,,Bank
الشركه,,Company
أسفل,,Down
خاص,,Private
مسح,,Clear
نوع الشرط,,Condition type
أعلى,,Up
تعديل الشرط,,Edit condition
مشاهده الشرط,,View condition
محتوى الشرط,,Condition content
قائمه الشروط,,List of conditions
الشرط المختار,,Selected condition
مقارنة الاحداث,,Event comparison
قائمة حقول مختلفة,,List of differing fields
قيم حقول مختلفة,,Differing field values
لا يوجد اختلاف,,No differences
الغاء,,Cancel
إدراج نص,,Insert text
البحث,,Search
اختر طلب الشراء,,Select purchase order
اظهار الكل,,Show all
الغاء,,Cancel
البحث,,Search
اظهار الكل,,Show all
يوكل الى,,Assign to
نوع التحكم,,Control type
خاص,,Private
عام,,Public
رمز النموذج,,Form code
اسم النموذج,,Form name
حدثت مشكلة اثناء تقديم طلبكم,,A problem occurred while submitting your request
الغاء,,Cancel
الاستمرار,,Continue
اختيار الشركة,,Select company
"اسم تقرير غير صحيح , يرجى اعادة الاختيار",,"Invalid report name, please select again"
الغاء,,Cancel
الاستمرار,,Continue
اشعار السحب,,Advice of drawing
الغاء,,Cancel
المصاريف,,Charges
حذف,,Delete
حجم الملف (كيلوبايت),,File size (KB)
نوع الملف,,File type
وصف الملف المصور,,Scanned file description
مسار الملف المصور,,Scanned file path
مؤشر الملف المصور,,Scanned file index
نوع الملف المصور,,Scanned file type
خزن فورا في قاعدة البيانات,,Store immediately in the database
ملاحظات,,Remarks
تقديم,,Submit
تحميل الحالة,,Upload status
تحديث,,Update
بانتظار موافقة قطاع الشركات,,Pending Corporate Banking approval
رسالة من البنك,,Message from the bank
بوالص تحصيل التصدير,,Export documentary collections
اعتمادات التصدير,,Export letters of credit
بوالص تحصيل الاستيراد,,Import documentary collections
اعتمادات الاستيراد,,Import Letters of Credit
اعداد البريد الوارد,,Inbox Setup
الكفالات الواردة,,Received Guarantees
المواد,,Materials
الكفالات الصادرة,,Issued Guarantees
مرفوضة من المشرف,,Rejected by the supervisor
حفظ,,Save
تم الحفظ,,Saved
العناوين,,Addresses
الغاء,,Cancel
الاستمرار,,Continue
الاعتراض,,Objection
الاعتراض / تفاصيل الرد,,Objection / Response Details
يرجى ادخال مفتاح الرد ادناه,,Please enter the response key below
الرد,,Response
الغاء,,Cancel
"اسم منتج غير صحيح , يرجى اعادة المحاولة",,"Invalid product name, please try again"
"نوع غير صحيح , يرجى اعادة المحاولة",,"Invalid type, please try again"
الغاء,,Cancel
اختيار,,Select
مشاهدة تاريخ التوثيق,,View authentication history
حدثت مشكلة اثناء تقديم طلبكم,,A problem occurred while submitting your request
العودة الى شاشة الدخول,,Return to the login screen
المرفق,,Attachment
نسخة الى,,Cc
اغلاق,,Close
ارسال,,Send
ارسال من,,Send from
ارسال الى,,Send to
الموضوع,,Subject
يحتوي على,,Contains
وظيفة البحث,,Search function
تحديث القائمة,,Refresh list
البحث,,Search
مشروع العملاء - احصائيات الحركات,,Client Project - Transaction Statistics
البحث عن الحركات,,Search for transactions
يتم تحميل احصائيات الخدمات التجارية ، يرجى الانتظار,,"Loading trade services statistics, please wait"
الغاء,,Cancel
تقديم الرسالة,,Submit message
يرجى المشاهدة,,Please view
السابق,,Previous
التعليمات مكتملة,,Instructions completed
الغاء,,Cancel
حدثت مشكلة اثناء تقديم طلبكم,,An issue occurred while submitting your request
السابق,,Previous
الاستمرار,,Continue
التعليمات مكتملة,,Instructions completed
الوقت الحالي هو,,The current time is
تسجيل دخولكم الاخير كان في,,Your last login was on
المحافظة على الامن والانظمة,,Maintaining security and systems
اليوم هو,,Today is
وقت الجلسة انتهى!,,Your session has timed out!
مشروع العملاء انتهاء الوقت,,Customer project time-out
تسجيل الخروج,,Log out
بيانات حركتكم تم حفظها بنجاح في قاعدة بيانات,,Your transaction data has been successfully saved in the database
الغاء,,Cancel
الشركة,,Company
انشئت بواسطة,,Created by
تاريخ الانشاء,,Creation date
انشاء,,Create
حذف,,Delete
تحميل,,Download
الاسم,,Name
لا يوجد سجلات صالحة,,No Valid Records
خاص,,Private
اظهار القواعد,,Show Rules
اسم النموذج,,Model Name
نوع النموذج,,Model Type
تحديث,,Update
الغاء,,Cancel
انشئت بواسطة,,Created By
تاريخ الانشاء,,Creation Date
انشاء,,Create
حذف,,Delete
تحميل,,Download
لا يوجد سجلات صالحة,,No Valid Records
خاص,,Private
عام,,Public
اسم النموذج,,Model Name
نوع النموذج,,Model Type
نوع النموذج,,Form Type
تحديث,,Update
الغاء,,Cancel
رقم حساب الشركة,,Company Account Number
تاكيد,,Confirm
تاكيد كلمة السر,,Confirm Password
كلمة المرور الجديدة,,New Password
كلمة المرور القديمة,,Old Password
إعادة ضبط,,Reset
الرمز التعريفي للمستخدم,,User ID
اسم المستخدم,,Username
مجموعة البنك,,Bank Group
التكلفة و التامين واجور الشحن مدفوعة,,"Cost, Insurance and Freight (CIF)"
رمز الدولة,,Country Code
اوقات الحدث,,Event Times
اسم خارطة GAPI,,GAPI Map Name
المرجع الرئيسي,,Master Reference
فعالية على النظام,,System Event
محتوى الرسالة,,Message Content
ترويسة الرسالة,,Message Header
ربط مع نظام اخر,,Integration with another system
نظام اخر,,Other system
مشاهدة رسائل الحركات من CE  الى CSX,,View transaction messages from CE to CSX
لائحة المرفقات,,List of attachments
معلومات الملف ( الملفات ) المصورة,,Imaged file(s) information
مجموعة البنك,,Bank group
التكلفة و التامين واجور الشحن مدفوعة,,"Cost, insurance and freight paid"
رمز الدولة,,Country code
اوقات الحدث,,Event times
المرجع الرئيسي,,Primary reference
فعالية على النظام,,System activity
محتوى الرسالة,,Message content
ترويسة الرسالة,,Message header
نوع الرسالة,,Message type
رسالة سويفت,,SWIFT message
مشاهدة السويفت,,View SWIFT message
السابق,,Previous
مشاهدة مسبقة,,Preview
إعادة ضبط,,Reset
حفظ,,Save
قائمة اجزاء الشاشة الرئيسية,,List of main screen components
إعادة تقديم,,Resubmit
لا يوجد قيم . هل ترغب بالاستمرار؟,,There are no values. Do you want to continue?
اخفاء,,Hide
اظهار,,Show
مقارنة,,Compare
مشاهدة التوثيق,,View documentation
ازالة,,Remove
اعتماد جديد,,New letter of credit
مشاهدة,,View
قسم البنك,,Bank section
رسالة البنك,,Bank message
قسم الشركات,,Corporate section
هذا الحساب تم استخدامه سابقا ، يرجى محاولة استعمال رقم حساب اخر,,This account has been used before; please try using a different account number
مبلغ القبول يجب ان لا تتجاوز مبلغ بوليصة التحصيل,,The acceptance amount must not exceed the amount of the bill for collection
يمكن التفعيل بواسطة,,Can be activated via
المبلغ المتنازل عنه يزيد عن قيمة الاعتماد,,The assigned amount exceeds the letter of credit amount
المبلغ المتنازل عنه يزيد عن قيمة الاعتماد,,The assigned amount exceeds the letter of credit amount
الرمز التعريفي اجباري للرزنامة,,The identifier code is mandatory for the calendar
اختار بوليصة الشحن الجوي,,Select the air waybill
رمز سويفت البنك تم استخدامه سابقا ، يرجى محاولة استعمال رمز سويفت اخر,,The bank's SWIFT code has been used previously; please try using another SWIFT code
باركود الحركة ( الشريط الرمزي للحركة),,Transaction barcode (barcode for the transaction)
اغلاق,,Close
طباعة,,Print
اخفاء الصورة/الصور,,Hide image(s)
سبب الرفض,,Reason for rejection
رفض,,Reject
تمرير,,Forward
اظهار الصورة/الصور,,Show image(s)
بيانات النجاح,,Success data
رقم تذكرة جهاز توكن,,Token device ticket number
يرجى اختيار عملة اساس !,,Please select a base currency!
يجيز,,Authorize
الغاء,,Cancel
تأكيد,,Confirm
حذف,,Delete
المستند,,Document
التالي,,Next
السابق,,Previous
طباعة,,Print
حفظ,,Save
نموذج,,Form
مشاهدة المستند,,View document
مشاهدة تاريخ الحركة,,View transaction history
نيسان ( ابريل ),,April
اب ( اغسطس ),,August
كانون اول ( ديسمبر),,December
شباط ( فبراير ),,February
تم تحديد السطح ولكن لا يمكن ايجاد الشركة الام,,"Surface identified, but parent company cannot be found"
الجمعة,,Friday
كانون الثاني ( يناير ),,January
تموز ( يوليه ),,July
حزيران ( يونيو ),,June
اذار ( مارس ),,March
ايار ( ماي ),,May
الاثنين,,Monday
التالي,,Next
السنة التالية,,Next year
لا يوجد بيانات مسجلة,,No data recorded
لا يوجد شيء للتجهيز ( لم يتم ايجاد الحقول ) يرجى التأكد من رمزك,,Nothing to process (no fields found). Please check your code
تشرين ثاني ( نوفمبر ),,November
تشرين اول,,October
اختر تاريخ,,Select a date
السابق,,Previous
السنة السابقة,,Previous year
السبت,,Saturday
ايلول (سبتمبر ),,September
الاحد,,Sunday
الخميس,,Thursday
اليوم,,Today
الثلاثاء,,Tuesday
الاربعاء,,Wednesday
لا يمكن ان يكون فارغا,,Cannot be empty
يرجى اختيار العملة,,Please select the currency
اختار شهادة صادرة عن مالكي السفينه/القبطان/الناقل,,Select a certificate issued by the shipowners/the captain/the carrier
يرجى التاكيد (التاشير) على الشروط والأحكام,,Please confirm (tick) the terms and conditions
يرجى اختيار اجراء,,Please select an action
يرجى اختيار شرط !,,Please select a condition!
يرجى اختيار شرط محدد !,,Please select a specific condition!
اضغط موافق للمتابعة,,Click OK to continue
انقر (موافق) للاستمرار . (الغاء) للالغاء,,Click (OK) to continue. (Cancel) to cancel
رمز الشركة يجب ان يكون نفسه !,,Company code must match!
رقم حساب الشركة,,Company account number
رقم حساب الشركة اجباري !,,Company account number is required!
رقم حساب الشركة اجباري !,,Company account number is required!
مطلوب الرمز التعريفي للمجموعة,,Group ID is required
مطلوب اسم الشركة,,Company name is required
حقل تاكيد كلمة السر فارغ,,Confirm password field is empty
حقل تاكيد كلمة السر وحقل كلمة السر الجديدة يجب ان يكونا متطابقين,,Confirm password and new password fields must match
اختار بوليصة شحن ناقل الخاص,,Select your carrier's bill of lading
المستخدم الحالي فعال,,The current user is active
رقم حساب العميل يجب ان يكون 6 !,,Customer account number must be 6 digits!
لن يتم حفظ البيانات في حالة الاستمرار,,Data will not be saved if you continue
يجب اختيار مستند,,A document must be selected
عنوان البريد الالكتروني غير صالح,,Email address is invalid
البريد الالكتروني موجود اصلا,,Email already exists
لا يوجد بريد الكتروني صالح للمجموعة - يرجى انشاء بريد الكتروني للمجموعة اولا.,,There is no valid email for the group - please create a group email first.
اسم المجموعة للبريد الالكتروني اجباري,,Email group name is required
تم تاسيس اخطارات البريد الالكتروني لهذه الشركة،  يرجى الذهاب الى تعديل اخطارات البريد الالكتروني لتعديله,,Email notifications have been set up for this company; please go to Edit Email Notifications to modify them
فارغ,,Empty
لا يمكن ان يكون فارغا ! يجب تعبئته!,,It cannot be empty! It must be filled in!
الاسم يجب ان لا يكون فارغا !,,The name must not be empty!
يرجى ادخال البريد الالكتروني,,Please enter the email address
خطأ,,Error
تاريخ انتهاء الاعتماد او اخر تاريخ لتقديم المستندات من قبل المستفيد,,Expiry date of the letter of credit or the latest date for presentation of documents by the beneficiary
تاريخ الانتهاء يجب ان لا يكون سابقا للتاريخ الحالي,,The expiry date must not be earlier than the current date
تاريخ الانتهاء يجب ان لا يكون سابقا لتاريخ الطلب,,The expiry date must not be earlier than the application date
تاريخ الانتهاء يجب ان لا يكون سابقا للتاريخ الحالي,,The expiry date must not be earlier than the current date
يرجى النقر على كبسات  التصدير اعلاه للحصول على التقرير,,Please click the export buttons above to obtain the report
ملف الوصول للوظيفة FAP  غير صالح,,The access file for function FAP is invalid
تركيبة رقم الفاكس غير صالحة,,The fax number format is invalid
يرجى تعبئة جميع الحقول المطلوبة,,Please fill in all required fields
تاريخ طلب كفالة التخليص ( الشحن ) لا يمكن ان يكون اكبر من تاريخ انتهاء الاعتماد,,The request date for a Shipping Guarantee (clearance) cannot be later than the letter of credit expiry date
خطأ: اسم القيمة لا يمكن ان يتضمن حروف % ' : ~ \\,,Error: The value name cannot contain the characters % ' : ~ \\
تغيير البلد سوف يحذف البيانات التي قمت بتسجيلها . هل انت متاكد من رغبتك بالاستمرار؟,,Changing the country will delete the data you have entered. Are you sure you want to continue?
تغيير السنة سوف يحذف البيانات التي قمت بتسجيلها . هل انت متاكد من رغبتك بالاستمرار؟,,Changing the year will delete the data you have entered. Are you sure you want to continue?
عدد ارقام العطل الاقصى هو 23,,The maximum number of holidays is 23
تحذير : اللون مكرر,,Warning: Duplicate color
الجدول لهذه الدولة تم انشاءه من قبل . للتعديل ، يرجى تعديل فعالية العطل .,,"The table for this country has already been created. To modify, please edit the holiday entry."
